dataset: Skin_NonSkin.csv
time_cons: 255.9802701473236 s
mem_cons: 93317.5673828125 KB
precision: {'1.0': 0.83359375, '2.0': 0.8121386072236655}
recall: {'1.0': 0.10633844927247359, '2.0': 0.9945353789317051}
f1: {'1.0': 0.1886158741382358, '2.0': 0.8941298581478492}
result: 
{'label': ['0.0', '3.0', '182.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['199.0', '197.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['204.0', '203.0', '169.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['41.0', '39.0', '235.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['247.0', '249.0', '249.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['117.0', '116.0', '82.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['83.0', '92.0', '130.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['52.0', '55.0', '23.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['190.0', '190.0', '144.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['111.0', '112.0', '62.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['183.0', '180.0', '135.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['101.0', '102.0', '46.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['154.0', '193.0', '232.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['180.0', '177.0', '133.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['168.0', '165.0', '114.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['81.0', '80.0', '29.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['129.0', '132.0', '87.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '178.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['200.0', '195.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['48.0', '105.0', '160.0'], 'gt': '1.0', 'pred': '1.0'}
{'label': ['153.0', '191.0', '255.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['178.0', '178.0', '130.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['23.0', '23.0', '5.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['157.0', '162.0', '123.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['50.0', '50.0', '14.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['69.0', '70.0', '26.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['0.0', '246.0', '237.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['95.0', '99.0', '152.0'], 'gt': '1.0', 'pred': '1.0'}
{'label': ['173.0', '168.0', '119.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['186.0', '185.0', '141.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['67.0', '81.0', '129.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['74.0', '76.0', '30.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['172.0', '185.0', '237.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['83.0', '93.0', '50.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['173.0', '171.0', '123.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['81.0', '116.0', '189.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['157.0', '161.0', '126.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['180.0', '177.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '175.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['116.0', '218.0', '213.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['150.0', '153.0', '107.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['204.0', '202.0', '168.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['42.0', '93.0', '79.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['39.0', '35.0', '10.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['91.0', '86.0', '147.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['130.0', '162.0', '228.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['181.0', '178.0', '134.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['131.0', '174.0', '217.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['171.0', '169.0', '121.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['131.0', '172.0', '221.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['121.0', '160.0', '212.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['81.0', '91.0', '131.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['36.0', '38.0', '8.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['98.0', '147.0', '225.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['176.0', '176.0', '128.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['129.0', '168.0', '220.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['81.0', '110.0', '137.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['160.0', '158.0', '104.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['248.0', '250.0', '250.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['130.0', '171.0', '220.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['173.0', '189.0', '232.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['141.0', '144.0', '95.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['185.0', '183.0', '135.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['185.0', '184.0', '140.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['175.0', '176.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['56.0', '60.0', '19.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['63.0', '64.0', '22.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['187.0', '195.0', '248.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['63.0', '109.0', '86.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['51.0', '121.0', '188.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['85.0', '53.0', '212.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['168.0', '165.0', '114.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['166.0', '182.0', '229.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['91.0', '198.0', '195.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['24.0', '105.0', '255.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['193.0', '193.0', '153.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['179.0', '177.0', '129.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['51.0', '45.0', '240.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['11.0', '10.0', '0.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['133.0', '138.0', '99.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['55.0', '57.0', '21.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '175.0', '130.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['56.0', '107.0', '87.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['54.0', '116.0', '86.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['15.0', '5.0', '189.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['181.0', '178.0', '133.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '176.0', '128.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['93.0', '92.0', '42.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['28.0', '62.0', '38.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['103.0', '101.0', '71.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['142.0', '149.0', '212.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['180.0', '179.0', '135.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['120.0', '123.0', '78.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['167.0', '170.0', '121.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['179.0', '179.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['157.0', '160.0', '121.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['87.0', '90.0', '35.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['93.0', '91.0', '37.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['163.0', '164.0', '114.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['165.0', '164.0', '114.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['35.0', '32.0', '4.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['173.0', '170.0', '125.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['200.0', '199.0', '161.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['147.0', '167.0', '24.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['174.0', '173.0', '123.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['176.0', '173.0', '128.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['67.0', '87.0', '134.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['176.0', '174.0', '126.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['0.0', '191.0', '0.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['150.0', '152.0', '100.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['169.0', '185.0', '238.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['20.0', '11.0', '192.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['173.0', '174.0', '130.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['40.0', '43.0', '41.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['128.0', '166.0', '230.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['163.0', '162.0', '112.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '176.0', '128.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['179.0', '177.0', '129.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['202.0', '200.0', '165.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['149.0', '149.0', '101.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['63.0', '122.0', '184.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['77.0', '83.0', '128.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['54.0', '55.0', '21.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['173.0', '171.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['179.0', '180.0', '138.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '175.0', '130.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['182.0', '178.0', '137.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['80.0', '51.0', '201.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['201.0', '200.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['98.0', '88.0', '101.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['55.0', '56.0', '22.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['204.0', '203.0', '169.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['109.0', '108.0', '50.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['205.0', '217.0', '253.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['99.0', '146.0', '220.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['155.0', '172.0', '221.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['178.0', '178.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['101.0', '174.0', '40.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['8.0', '6.0', '0.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['0.0', '255.0', '255.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['158.0', '159.0', '120.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['133.0', '126.0', '139.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['171.0', '170.0', '126.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['107.0', '108.0', '76.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['135.0', '133.0', '79.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['134.0', '135.0', '95.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['56.0', '109.0', '95.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['45.0', '102.0', '158.0'], 'gt': '1.0', 'pred': '1.0'}
{'label': ['116.0', '158.0', '225.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['101.0', '148.0', '222.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['74.0', '107.0', '180.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['118.0', '150.0', '216.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['180.0', '178.0', '137.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['58.0', '57.0', '31.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['63.0', '112.0', '255.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['16.0', '16.0', '4.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['50.0', '51.0', '12.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['205.0', '204.0', '170.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['132.0', '160.0', '60.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['163.0', '162.0', '112.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['202.0', '201.0', '163.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['114.0', '118.0', '169.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['100.0', '98.0', '97.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['195.0', '194.0', '173.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['169.0', '171.0', '165.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['199.0', '197.0', '163.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['152.0', '189.0', '247.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['76.0', '79.0', '30.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['136.0', '138.0', '92.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['102.0', '73.0', '58.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['151.0', '151.0', '121.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['16.0', '13.0', '9.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['52.0', '95.0', '138.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['30.0', '31.0', '22.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['203.0', '201.0', '167.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['36.0', '32.0', '3.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['126.0', '157.0', '226.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['144.0', '139.0', '140.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['164.0', '160.0', '112.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['122.0', '160.0', '214.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['165.0', '164.0', '114.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['168.0', '159.0', '122.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['169.0', '185.0', '238.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['54.0', '115.0', '183.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['193.0', '192.0', '154.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['170.0', '169.0', '119.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['134.0', '171.0', '223.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['48.0', '153.0', '50.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['104.0', '103.0', '105.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['23.0', '47.0', '29.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['28.0', '13.0', '4.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['172.0', '170.0', '122.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['164.0', '162.0', '114.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['72.0', '74.0', '32.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['175.0', '172.0', '127.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['153.0', '191.0', '255.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['114.0', '115.0', '113.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['43.0', '44.0', '10.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['205.0', '204.0', '170.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['65.0', '67.0', '31.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['199.0', '197.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['201.0', '200.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['198.0', '196.0', '161.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['199.0', '197.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['78.0', '86.0', '126.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['201.0', '199.0', '164.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['182.0', '179.0', '135.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['162.0', '161.0', '111.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['52.0', '47.0', '240.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['88.0', '91.0', '36.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['143.0', '148.0', '97.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['248.0', '250.0', '250.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['167.0', '167.0', '119.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['182.0', '180.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['17.0', '17.0', '0.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['255.0', '161.0', '125.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['115.0', '145.0', '216.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['205.0', '204.0', '170.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['44.0', '64.0', '52.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['115.0', '150.0', '216.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['144.0', '143.0', '87.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['92.0', '91.0', '41.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['230.0', '186.0', '149.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['89.0', '92.0', '37.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['136.0', '138.0', '116.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['55.0', '54.0', '40.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['180.0', '180.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['61.0', '105.0', '158.0'], 'gt': '1.0', 'pred': '1.0'}
{'label': ['169.0', '167.0', '119.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['240.0', '251.0', '255.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['49.0', '104.0', '165.0'], 'gt': '1.0', 'pred': '1.0'}
{'label': ['78.0', '85.0', '128.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['118.0', '162.0', '223.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['127.0', '160.0', '223.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['136.0', '137.0', '87.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['155.0', '156.0', '122.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['199.0', '197.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['171.0', '169.0', '121.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['166.0', '165.0', '115.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['57.0', '55.0', '45.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['110.0', '113.0', '111.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['147.0', '146.0', '90.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['53.0', '120.0', '189.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['49.0', '50.0', '48.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['179.0', '176.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['202.0', '101.0', '126.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['157.0', '159.0', '129.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['79.0', '85.0', '132.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['143.0', '146.0', '97.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['148.0', '150.0', '98.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['172.0', '171.0', '121.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['184.0', '182.0', '151.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['179.0', '153.0', '147.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['144.0', '183.0', '251.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['108.0', '146.0', '204.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['183.0', '181.0', '133.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['189.0', '179.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['43.0', '46.0', '20.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['117.0', '152.0', '225.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['54.0', '55.0', '21.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['68.0', '69.0', '53.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['120.0', '149.0', '200.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['178.0', '177.0', '139.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['118.0', '153.0', '221.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['8.0', '5.0', '1.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['209.0', '218.0', '255.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['196.0', '195.0', '157.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['197.0', '196.0', '158.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['4.0', '0.0', '72.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['29.0', '30.0', '21.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['128.0', '128.0', '128.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['84.0', '129.0', '210.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['154.0', '192.0', '255.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['109.0', '56.0', '70.0'], 'gt': '2.0', 'pred': '1.0'}
{'label': ['198.0', '198.0', '158.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['200.0', '198.0', '163.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['198.0', '196.0', '162.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['168.0', '162.0', '119.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['150.0', '152.0', '106.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['90.0', '131.0', '216.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['38.0', '121.0', '96.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['180.0', '88.0', '147.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['58.0', '113.0', '170.0'], 'gt': '1.0', 'pred': '1.0'}
{'label': ['20.0', '17.0', '3.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['179.0', '177.0', '129.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['155.0', '192.0', '254.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['161.0', '159.0', '105.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['175.0', '171.0', '130.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['109.0', '107.0', '59.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['146.0', '144.0', '90.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['105.0', '91.0', '103.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['143.0', '146.0', '97.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['16.0', '13.0', '0.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['0.0', '1.0', '0.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['57.0', '55.0', '45.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['153.0', '192.0', '254.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['49.0', '91.0', '138.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['92.0', '97.0', '52.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['52.0', '79.0', '213.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['105.0', '119.0', '231.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['103.0', '52.0', '72.0'], 'gt': '2.0', 'pred': '1.0'}
{'label': ['177.0', '175.0', '127.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['58.0', '59.0', '20.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['23.0', '20.0', '5.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['88.0', '133.0', '214.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['64.0', '64.0', '64.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '175.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['145.0', '144.0', '110.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '178.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['55.0', '60.0', '21.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['10.0', '10.0', '0.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['141.0', '138.0', '87.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['8.0', '8.0', '2.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['178.0', '175.0', '131.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['181.0', '179.0', '138.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['163.0', '167.0', '132.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['96.0', '88.0', '105.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['186.0', '184.0', '143.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['126.0', '165.0', '217.0'], 'gt': '1.0', 'pred': '2.0'}
{'label': ['156.0', '159.0', '120.0'], 'gt': '2.0', 'pred': '2.0'}
{'label': ['173.0', '171.0', '140.0'], 'gt': '2.0', 'pred': '2.0'}
